Center Image,Left Image,Right Image,Steering,Throttle,Brake,Speed,moving average(if(abs(moving5 average9>original: Insert moving average)
/IMG/center_2018_01_02_23_25_25_433.jpg,/IMG/left_2018_01_02_23_25_25_433.jpg,/IMG/right_2018_01_02_23_25_25_433.jpg,0,0,0,7.499007,-0.17000002
/IMG/center_2018_01_02_23_25_25_900.jpg,/IMG/left_2018_01_02_23_25_25_900.jpg,/IMG/right_2018_01_02_23_25_25_900.jpg,-0.8500001,0,0,7.078048,-0.8500001
/IMG/center_2018_01_02_23_25_26_381.jpg,/IMG/left_2018_01_02_23_25_26_381.jpg,/IMG/right_2018_01_02_23_25_26_381.jpg,0,0,0,6.754609,0
/IMG/center_2018_01_02_23_25_26_870.jpg,/IMG/left_2018_01_02_23_25_26_870.jpg,/IMG/right_2018_01_02_23_25_26_870.jpg,0,0,0,6.526712,-0.17000002
/IMG/center_2018_01_02_23_25_27_344.jpg,/IMG/left_2018_01_02_23_25_27_344.jpg,/IMG/right_2018_01_02_23_25_27_344.jpg,0,0,0,6.306712,-0.17000002
/IMG/center_2018_01_02_23_25_27_819.jpg,/IMG/left_2018_01_02_23_25_27_819.jpg,/IMG/right_2018_01_02_23_25_27_819.jpg,0,1,0,9.872375,-0.17000002
/IMG/center_2018_01_02_23_25_28_302.jpg,/IMG/left_2018_01_02_23_25_28_302.jpg,/IMG/right_2018_01_02_23_25_28_302.jpg,0,0,0,9.618161,-0.17000002
/IMG/center_2018_01_02_23_25_28_778.jpg,/IMG/left_2018_01_02_23_25_28_778.jpg,/IMG/right_2018_01_02_23_25_28_778.jpg,-0.8500001,0,0,9.074608,-0.8500001
/IMG/center_2018_01_02_23_25_29_257.jpg,/IMG/left_2018_01_02_23_25_29_257.jpg,/IMG/right_2018_01_02_23_25_29_257.jpg,0,0,0,8.673239,-0.17000002
/IMG/center_2018_01_02_23_25_29_743.jpg,/IMG/left_2018_01_02_23_25_29_743.jpg,/IMG/right_2018_01_02_23_25_29_743.jpg,0,0,0,8.380838,-0.17000002
/IMG/center_2018_01_02_23_25_30_223.jpg,/IMG/left_2018_01_02_23_25_30_223.jpg,/IMG/right_2018_01_02_23_25_30_223.jpg,0,0,0,8.09824,-0.33000004
/IMG/center_2018_01_02_23_25_30_702.jpg,/IMG/left_2018_01_02_23_25_30_702.jpg,/IMG/right_2018_01_02_23_25_30_702.jpg,0,0,0,7.841026,-0.33000004
/IMG/center_2018_01_02_23_25_31_184.jpg,/IMG/left_2018_01_02_23_25_31_184.jpg,/IMG/right_2018_01_02_23_25_31_184.jpg,-0.8500001,0,0,7.400021,-0.8500001
/IMG/center_2018_01_02_23_25_32_194.jpg,/IMG/left_2018_01_02_23_25_32_194.jpg,/IMG/right_2018_01_02_23_25_32_194.jpg,0,0,0,7.04917,-0.16000002
/IMG/center_2018_01_02_23_25_32_692.jpg,/IMG/left_2018_01_02_23_25_32_692.jpg,/IMG/right_2018_01_02_23_25_32_692.jpg,-0.8000001,0,0,6.685291,-0.8000001
/IMG/center_2018_01_02_23_25_33_180.jpg,/IMG/left_2018_01_02_23_25_33_180.jpg,/IMG/right_2018_01_02_23_25_33_180.jpg,0,0,0,6.377445,-0.17000002
/IMG/center_2018_01_02_23_25_33_759.jpg,/IMG/left_2018_01_02_23_25_33_759.jpg,/IMG/right_2018_01_02_23_25_33_759.jpg,0,0,0,6.162459,-0.17000002
/IMG/center_2018_01_02_23_25_34_258.jpg,/IMG/left_2018_01_02_23_25_34_258.jpg,/IMG/right_2018_01_02_23_25_34_258.jpg,0,0,0,5.966749,-0.34000004
/IMG/center_2018_01_02_23_25_34_744.jpg,/IMG/left_2018_01_02_23_25_34_744.jpg,/IMG/right_2018_01_02_23_25_34_744.jpg,0,0,0,5.765615,-0.34000004
/IMG/center_2018_01_02_23_25_35_247.jpg,/IMG/left_2018_01_02_23_25_35_247.jpg,/IMG/right_2018_01_02_23_25_35_247.jpg,-0.8500001,0,0,5.443716,-0.8500001
/IMG/center_2018_01_02_23_25_35_750.jpg,/IMG/left_2018_01_02_23_25_35_750.jpg,/IMG/right_2018_01_02_23_25_35_750.jpg,0,0,0,5.187958,-0.34000004
/IMG/center_2018_01_02_23_25_36_254.jpg,/IMG/left_2018_01_02_23_25_36_254.jpg,/IMG/right_2018_01_02_23_25_36_254.jpg,-0.8500001,0,0,4.898749,-0.8500001
/IMG/center_2018_01_02_23_25_36_771.jpg,/IMG/left_2018_01_02_23_25_36_771.jpg,/IMG/right_2018_01_02_23_25_36_771.jpg,0,0,0,4.657057,-0.17000002
/IMG/center_2018_01_02_23_25_37_272.jpg,/IMG/left_2018_01_02_23_25_37_272.jpg,/IMG/right_2018_01_02_23_25_37_272.jpg,0,1,0,8.28599,-0.17000002
/IMG/center_2018_01_02_23_25_37_778.jpg,/IMG/left_2018_01_02_23_25_37_778.jpg,/IMG/right_2018_01_02_23_25_37_778.jpg,-0.8500001,0,0,7.886142,-0.8500001
/IMG/center_2018_01_02_23_25_38_277.jpg,/IMG/left_2018_01_02_23_25_38_277.jpg,/IMG/right_2018_01_02_23_25_38_277.jpg,0,0,0,7.515304,0
/IMG/center_2018_01_02_23_25_38_794.jpg,/IMG/left_2018_01_02_23_25_38_794.jpg,/IMG/right_2018_01_02_23_25_38_794.jpg,0,0,0,7.276609,0
/IMG/center_2018_01_02_23_25_39_302.jpg,/IMG/left_2018_01_02_23_25_39_302.jpg,/IMG/right_2018_01_02_23_25_39_302.jpg,0,1,0,11.0261,0
/IMG/center_2018_01_02_23_25_39_800.jpg,/IMG/left_2018_01_02_23_25_39_800.jpg,/IMG/right_2018_01_02_23_25_39_800.jpg,0,0,0,10.74018,-0.16000002
/IMG/center_2018_01_02_23_25_40_314.jpg,/IMG/left_2018_01_02_23_25_40_314.jpg,/IMG/right_2018_01_02_23_25_40_314.jpg,0,0,0,10.39901,-0.16000002
/IMG/center_2018_01_02_23_25_40_820.jpg,/IMG/left_2018_01_02_23_25_40_820.jpg,/IMG/right_2018_01_02_23_25_40_820.jpg,0,0,0,10.04833,-0.16000002
/IMG/center_2018_01_02_23_25_41_322.jpg,/IMG/left_2018_01_02_23_25_41_322.jpg,/IMG/right_2018_01_02_23_25_41_322.jpg,0,0,0,9.709532,-0.16000002
/IMG/center_2018_01_02_23_25_41_886.jpg,/IMG/left_2018_01_02_23_25_41_886.jpg,/IMG/right_2018_01_02_23_25_41_886.jpg,-0.8000001,0,0,9.204253,-0.8000001
/IMG/center_2018_01_02_23_25_42_564.jpg,/IMG/left_2018_01_02_23_25_42_564.jpg,/IMG/right_2018_01_02_23_25_42_564.jpg,0,0,0,8.795598,0
/IMG/center_2018_01_02_23_25_43_173.jpg,/IMG/left_2018_01_02_23_25_43_173.jpg,/IMG/right_2018_01_02_23_25_43_173.jpg,0,0,0,8.499063,0
/IMG/center_2018_01_02_23_25_43_783.jpg,/IMG/left_2018_01_02_23_25_43_783.jpg,/IMG/right_2018_01_02_23_25_43_783.jpg,0,0,0,8.229116,-0.17000002
/IMG/center_2018_01_02_23_25_44_393.jpg,/IMG/left_2018_01_02_23_25_44_393.jpg,/IMG/right_2018_01_02_23_25_44_393.jpg,0,0,0,7.951689,-0.17000002
/IMG/center_2018_01_02_23_25_44_926.jpg,/IMG/left_2018_01_02_23_25_44_926.jpg,/IMG/right_2018_01_02_23_25_44_926.jpg,0,0,0,7.683614,-0.17000002
